Rk,Team,Age,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attendance
20,Portland Trail Blazers,25.1,20,29,-2.61,0.77,-1.85,109.1,111.7,97.4,0.271,0.327,0.555,0.515,12.4,21.9,0.212,0.512,12,75.7,0.251,Moda Center,"440,876"
21,Miami Heat,26.4,20,28,-2.73,0.44,-2.29,104.1,107,95,0.25,0.3,0.525,0.498,12.2,23,0.17,0.498,12.2,76.8,0.206,AmericanAirlines Arena,"451,633"
22,Sacramento Kings,28.9,19,28,-2.7,0.32,-2.39,108.3,111.2,94.1,0.304,0.304,0.554,0.509,13.2,22.3,0.237,0.531,13.7,75.8,0.238,Golden 1 Center,"369,768"
23,Dallas Mavericks,27.9,18,29,-3.23,0.83,-2.41,105.2,108.7,91.5,0.215,0.367,0.538,0.503,11.7,18.8,0.172,0.531,14.9,77.6,0.229,American Airlines Center,"431,463"
24,New Orleans Pelicans,25.6,20,28,-2.73,0.27,-2.46,104.1,106.9,98.1,0.251,0.306,0.531,0.496,11.5,18.6,0.188,0.504,12.1,77.3,0.176,Smoothie King Center,"434,369"
25,New York Knicks,27.6,20,29,-2.59,-0.21,-2.81,108.2,110.9,96.6,0.233,0.285,0.535,0.499,12.6,27.2,0.183,0.505,11.5,75,0.226,Madison Square Garden (IV),"475,488"
26,Phoenix Suns,25.8,16,31,-5.45,0.9,-4.55,106.3,111.8,99.1,0.289,0.265,0.54,0.496,13.7,26.4,0.226,0.527,13.7,76.7,0.26,Talking Stick Resort Arena,"382,133"
27,Philadelphia 76ers,25,15,31,-5.26,-0.22,-5.48,102,107.3,97.6,0.251,0.352,0.537,0.501,15.4,21.9,0.191,0.506,13.2,75.7,0.221,Wells Fargo Center,"445,552"
28,Orlando Magic,25.6,16,33,-5.53,0,-5.53,103.7,109.4,96.1,0.234,0.304,0.524,0.493,12.1,21.7,0.168,0.518,12,77.2,0.195,Amway Center,"413,908"
29,Los Angeles Lakers,25.9,15,35,-6.42,0.49,-5.93,106,112.6,97.8,0.268,0.298,0.536,0.496,13.6,25.4,0.205,0.536,12.5,75.7,0.206,STAPLES Center,"453,540"
30,Brooklyn Nets,26.3,11,36,-9.15,0.7,-8.45,103.7,112.7,101.8,0.277,0.382,0.552,0.509,14.8,18.9,0.219,0.524,11.4,75.6,0.203,Barclays Center,"370,611"
,League Average,26.8,24,24,0,0,0,108.4,108.4,96.3,0.271,0.314,0.551,0.512,12.8,23.3,0.209,0.512,12.8,76.7,0.209,,
